CustomerId,FirstName,LastName,Email,LoyaltyPoints,CreatedAt
b43edd25-0846-4b75-8fc0-f3e1bbacd728,Liam,Lewis,liam.lewis0@gmail.com,200,2025-03-06 01:47:11
98615186-f7c2-47bb-a6e3-00250b497bf3,Jackson,Martin,jackson.martin1@gmail.com,320,2024-11-22 10:55:54
3cedf8bb-c2c3-4ae5-a802-71befc20d527,Samuel,Wilson,samuel.wilson2@gmail.com,0,2025-03-22 16:35:50
ecf6af82-2c38-4d34-9e49-27aa78c2aa18,Aiden,King,aiden.king3@gmail.com,1200,2024-10-11 03:21:52
cb77ca9f-452c-4896-9513-70126c00444f,Ethan,Jones,ethan.jones4@gmail.com,200,2025-03-24 12:16:51
f67f3503-f602-4fe8-a565-c1e19b17b1f3,Sebastian,Brown,sebastian.brown5@gmail.com,50,2024-10-26 13:10:44
8e9eb665-74e2-4b4d-afa8-20f87b5520a4,Elijah,Thomas,elijah.thomas6@gmail.com,850,2025-01-21 11:08:04
f032174e-2b2c-4f33-ba72-2040cf4fd59f,Ethan,Torres,ethan.torres7@gmail.com,0,2025-03-11 09:35:35
f6da2363-b7ea-4b14-9efc-85777b5453f5,Daniel,Lewis,daniel.lewis8@gmail.com,75,2024-10-26 00:11:46
ad464ab5-6976-420f-b484-5d5ecd2290e4,Oliver,Lewis,oliver.lewis9@gmail.com,500,2025-04-19 02:36:42
216e040f-0fc9-4265-950a-bcf008e071c9,Lillian,Hall,lillian.hall10@gmail.com,850,2025-01-11 05:18:43
f6768c09-f005-47e2-93dd-cee16ba56f48,Harper,King,harper.king11@gmail.com,50,2024-06-18 19:06:51
80bef73e-e9ff-4b59-8c7e-dca0e60cb654,Addison,Davis,addison.davis12@gmail.com,500,2024-07-01 23:42:54
0c0fce72-643b-4d1c-baf9-238c55fc534d,Leah,Davis,leah.davis13@gmail.com,75,2024-10-26 15:01:59
74836c20-29d8-43fd-b12e-9f598a4fe3ac,Luna,White,luna.white14@gmail.com,850,2024-08-03 04:02:45
b7d5b629-1063-4f37-9098-764946d382f3,Chloe,Thomas,chloe.thomas15@gmail.com,200,2025-02-16 06:29:07
d310702d-8d05-49ca-8813-511c1740c203,Luna,King,luna.king16@gmail.com,50,2025-01-23 13:30:44
